Account	the	and	for	you	this	with	your	that	are	from	our	all	now	new	amp	out	more	can	get	have	what	one	here	her	has	their	world	was	will	about	but	time	his	just	they	see	who	how	best	she	today	day	love	first	like	year	these	when	not	some	only	after	make	season	tonight	team	via	there	back	thank	don	know	into	watch	off	happy	years	its	home	them	most	been	over	recipe	holiday	two	good	live	check	family	great	tickets	week	last	help	streaming	take	right	than	life	black	theaters	learn	game	let	join	find	special	people	stream	next	night	around	big	tour	ever	favorite	through	way	meet	which	full	november	got	christmas	want	look	oreo	every	amazing	very	ready	women	need	had	other	final	disney	old	image	episode	show	bub	also	well	studios	never	traworlds	win	pts	miss	thanksgiving	earth	marvel	dog	experience	down	made	where	ocean	fallontonight	moon	many	little	long	top	animals	why	everyone	thanks	going	always	gbbo	strangeworld	tomorrow	pet	would	before	celebrate	friday	looking	mission	him	city	man	come	read	perfect	panther	work	much	being	may	were	say	nfl	could	usa	free	any	story	visit	follow	space	hubble	movie	wakandaforever	house	star	food	better	cup	even	men	double	book	support	history	cat	december	friends	did	fun	shows	too	light	weekend	national	together	things	part	please	available	video	think	event	playing	news	series	cookies	while	animal	coming	said	baby	still	because	friend	zoo	halloween	making	during	wednesday	spacecraft	pop	cookie	another	dogs	virginia	state	play	travel	nasa	birthday	give	disneyplus	artemis	hope	stars	second	gymnastics	trampoline	share	sale	blackadam	should	excited	proud	water	young	sea	enjoy	days	art	ast	oct	reb	climate	trip	set	place	netflix	gift	million	hours	vsp	catch	three	red	between	latest	again	below	wait	same	month	galaxy	care	getting	change	something	against	sweet	monday	wildlife	incredible	pets	saturday	october	stay	explore	sunday	round	tarts	south	photo	guys	journey	country	list	hear	says	own	four	sure	past	youthsports	petfinder	american	along	those	keep	small	really	music	app	lead	stories	york	link	forever	watching	nba	stop	each	then	medal	tribe	everything	premieres	near	system	away	dinner	doing	lecheminduroi	gotribe	across	moments	view	tune	fans	congrats	twitter	episodes	grumpy	moment	treat	premiere	fox	comes	solar	left	data	without	party	different	tell	until	beautiful	won	does	since	chance	adventure	thing	gold	bake	tumbling	behind	students	future	high	planet	hot	needs	soon	download	nov	album	hotel	bransoncognac	wonderreturns	finals	america	adorable	cubs	wild	lot	makes	welcome	views	call	loves	original	gets	bring	seen	record	president	must	start	recipes	fall	starts	green	cruise	champion	hard	film	use	community	others	move	takes	close	head	title	summer	cast	kids	holidays	glg	both	cheetah	park	lights	few	gas	boo	texas	keepers	song	adopt	sofia	lol	brown	wants	mini	found	including	end	listen	try	match	easy	cbs	known	winter	white	service	click	impact	tweet	ice	launch	might	cream	score	games	cake	mom	images	scientists	school	camp	starting	details	tuesday	football	lil	real	save	looks	called	police	group	ahead	eyes	taking
AnimalPlanet	62	34	15	17	21	15	10	12	28	17	0	6	1	6	0	3	6	12	4	10	6	6	2	3	3	38	3	2	4	2	6	2	3	3	21	3	3	1	1	1	2	3	1	2	5	0	6	6	5	2	3	0	2	6	4	2	0	1	2	0	3	4	2	2	4	9	2	1	0	4	4	0	2	0	0	4	1	6	1	1	1	0	1	2	1	0	1	1	2	5	0	1	3	0	1	0	0	0	0	2	1	0	4	1	0	3	4	1	0	2	5	0	0	0	0	1	0	0	0	1	5	1	0	1	1	5	1	0	1	7	3	0	0	4	0	0	1	0	0	0	4	1	0	0	14	0	1	2	2	9	0	0	1	3	3	0	38	3	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	1	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	2	1	0	3	0	0	0	0	2	0	1	1	0	0	0	1	9	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	31	5	7	2	1	1	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	4	4	1	0	0	1	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	4	1	1	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
NatGeo	106	57	14	11	8	16	8	16	16	20	15	4	6	8	0	5	6	8	0	5	8	4	16	2	6	12	11	1	2	6	12	2	3	6	5	1	1	12	5	0	4	2	0	5	3	10	15	1	6	6	1	1	2	1	0	1	0	0	3	0	0	4	4	2	2	1	2	5	0	3	7	0	3	0	2	3	3	1	1	1	0	0	2	0	3	1	2	0	2	3	0	0	0	0	0	0	2	1	9	0	1	0	3	0	0	0	4	2	1	0	0	0	0	2	0	0	3	0	0	0	0	3	2	4	2	1	0	0	1	2	1	1	0	3	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	1	0	0	4	0	3	0	5	5	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	6	2	0	6	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	2	2	0	0	0	2	1	0	0	5	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	2	1	1	0	0	0	0	3	1	0	0	0	0	0	1	1	0	2	4	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	6	1	0	0	0	0	0	0	0	0	2	1	1	0	0	6	0	0	0	0	0	1	0	0	0	0	6	0	1	2	3	1	2	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	1	2	2	0	0	0	0	0	0	3	1	3	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	5	1	2	0	2	0	0	0	0	0	0	0	0	1	7	3	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0
BBCWorld	10	5	14	0	4	8	0	4	2	3	0	0	0	5	0	4	1	3	0	1	3	0	1	0	1	0	4	0	7	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	1	3	1	0	0	0	2	1	1	0	1	0	4	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	3	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	0	1	1	0	0	11	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	7	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	5	2	3	1	0
Discovery	113	49	22	6	19	31	3	10	10	7	2	5	6	17	0	6	10	5	2	6	5	7	4	2	4	12	5	9	2	2	4	5	4	5	6	3	5	5	0	0	3	0	2	1	2	5	3	2	1	3	1	4	0	10	12	0	0	2	2	0	4	2	6	5	2	2	4	4	3	2	5	1	6	0	1	2	1	2	3	2	2	0	3	2	0	0	3	2	1	3	0	0	5	0	1	3	3	1	0	2	0	3	3	0	0	4	3	3	1	1	2	1	1	1	0	1	5	0	0	0	0	1	0	0	2	3	0	0	3	31	6	0	0	2	3	0	0	0	0	0	4	3	1	0	0	0	5	0	2	2	0	1	1	1	6	1	4	1	0	1	3	0	0	0	1	0	3	2	1	1	2	0	0	1	0	2	0	2	0	0	2	1	1	1	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	6	2	1	1	0	0	11	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	3	0	3	2	0	0	0	1	0	0	2	0	0	1	0	0	0	3	1	1	1	1	0	0	0	0	0	0	3	1	0	1	0	0	4	0	0	0	0	1	1	3	0	0	1	1	0	1	0	0	0	1	2	1	1	0	0	0	1	0	0	2	0	1	0	0	1	2	1	0	0	3	0	0	2	1	0	0	0	1	3	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	2	3	2	0	1	0	0	1	0	0	0	0	0	0	0	4	2	3	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	5	2	2	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	1	0	0	2	0	0	0	0	4
NASASolarSystem	174	51	16	14	29	17	3	17	8	27	34	13	4	4	5	7	23	13	4	4	10	10	12	0	4	3	6	4	26	24	6	3	0	5	1	9	1	4	1	0	8	2	0	12	3	4	2	4	4	7	0	5	9	0	4	3	0	4	1	1	2	0	3	1	1	0	6	23	2	2	3	4	7	0	0	5	0	1	4	1	1	0	3	1	3	0	1	1	3	0	0	0	5	0	1	3	2	0	1	0	3	2	2	1	0	1	0	3	5	1	7	4	1	0	0	0	3	0	0	0	1	0	0	0	2	2	1	0	2	6	0	0	0	5	3	0	3	0	0	0	0	0	24	0	0	5	2	3	1	6	0	33	0	2	1	1	0	0	0	1	3	2	0	0	1	0	1	4	1	0	2	14	0	0	0	2	0	0	0	0	0	0	4	1	1	0	1	0	0	1	0	3	4	6	0	0	0	0	3	0	1	0	3	0	0	0	0	2	0	1	0	1	0	4	0	3	2	1	1	0	1	0	0	0	1	0	0	0	0	0	2	0	3	0	0	1	0	1	0	2	0	2	0	25	0	0	0	0	0	0	0	1	18	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	2	0	6	0	0	0	2	1	0	0	3	2	0	2	2	1	0	1	0	0	0	2	2	0	0	0	2	1	0	1	2	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	1	0	4	1	1	5	0	0	0	7	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	24	1	0	0	0	0	1	1	9	1	1	0	0	0	0	2	1	0	0	1	19	3	4	0	0	1	0	0	1	0	0	3	0	1	0	0	0	0	2	0	1	1	12	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	10	0	1	2	0	0	0	0	0	0	5	4	0	0	0	7	1	0	0	1	0	0	1	0	0	2	10	0
NASAHubble	168	63	12	3	80	17	2	21	25	31	18	4	2	20	8	22	56	9	3	11	8	8	4	0	6	7	0	7	3	25	7	9	0	4	7	3	2	5	0	0	3	0	0	3	7	2	23	1	2	3	2	4	0	0	0	2	0	3	1	0	1	0	8	1	2	3	27	12	2	3	6	2	6	0	0	16	1	1	1	0	0	0	2	3	4	0	3	5	6	1	7	0	8	0	1	1	15	0	0	0	3	1	3	1	0	0	1	11	9	0	18	2	0	0	0	0	5	0	0	0	1	3	0	0	0	2	0	0	2	44	0	3	0	2	0	0	1	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	4	0	0	2	0	0	1	2	1	0	0	0	0	0	0	1	0	0	2	8	1	0	0	0	8	0	0	0	1	1	1	3	0	0	0	0	0	0	1	0	0	9	71	0	0	0	30	0	2	0	2	0	2	0	1	0	0	0	0	0	0	19	0	42	0	0	10	0	2	1	0	3	1	1	0	0	0	0	1	0	1	0	0	0	5	1	0	0	1	1	0	4	0	0	3	0	0	0	0	0	3	1	2	0	3	0	45	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	2	6	0	0	3	0	7	1	24	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	17	0	0	0	0	2	0	23	0	0	1	0	0	0	0	0	0	0	0	0	4	6	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	10	0	1	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	13	0	1	0	0	3	0	0	1	5	0	0	0	0	0	8	6	0	0	1	1	0	0	0	0	0	3	3	0	1	1	2	0
SPACEdotcom	53	11	9	3	4	6	3	0	1	7	4	1	0	8	0	2	4	1	0	1	5	0	7	0	3	0	2	3	2	2	0	4	0	2	1	5	0	5	3	0	1	0	0	2	1	2	0	1	1	0	0	4	1	2	1	0	0	0	1	0	0	1	4	5	1	0	1	4	1	0	3	0	1	0	1	0	0	5	1	0	1	0	1	1	0	0	1	3	5	1	6	0	0	0	0	0	0	1	0	1	3	1	0	3	0	1	1	2	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	0	2	0	0	0	11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	1	0	26	3	1	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	7	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	0	0	0	0	0	12	0	0	0	7	0	1	0	0	0	0	1	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	2	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
NASAEarth	168	95	28	16	30	12	7	24	21	32	9	4	2	8	4	3	15	11	3	4	9	5	3	0	10	5	5	6	18	8	6	7	0	0	4	11	2	15	1	0	4	2	1	4	4	2	14	3	2	8	1	4	2	1	1	5	0	4	1	0	0	3	4	0	0	1	5	14	1	1	3	3	8	0	0	2	1	1	0	1	2	0	1	1	9	0	1	2	10	0	1	0	4	0	7	2	1	0	1	0	2	2	8	0	0	1	1	9	3	2	10	4	3	1	0	1	2	0	0	0	0	0	0	3	0	7	0	0	1	11	0	2	0	3	1	0	1	0	0	0	0	4	24	0	0	0	1	2	7	9	0	2	1	1	2	0	0	1	0	2	1	0	0	0	2	0	1	4	0	0	1	7	0	0	0	0	2	0	0	1	5	0	1	1	1	0	2	0	1	1	3	0	0	8	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	2	1	2	0	8	0	7	1	1	1	0	0	0	2	0	0	0	1	0	0	0	2	1	1	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	1	2	0	1	12	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	21	0	15	2	2	0	0	1	0	14	0	2	0	0	0	3	0	0	0	0	2	3	0	1	0	1	1	1	0	0	0	8	0	1	0	0	0	0	0	0	2	1	1	0	0	0	4	2	0	2	1	0	0	1	1	0	0	1	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6	3	1	1	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	24	0	0	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	5	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	3	0	1	0	2	3	2	1	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	13	4	1	0	0	0	0	0	3	9	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	1
NationalZoo	141	117	56	21	19	25	17	15	20	20	57	8	2	10	32	10	14	12	11	18	6	8	5	13	7	34	8	8	15	5	7	10	12	7	23	9	11	9	1	5	8	16	0	7	6	3	8	11	3	10	2	9	2	2	1	3	0	2	8	0	7	2	11	5	2	9	8	1	2	13	1	0	2	0	0	10	2	6	2	12	6	4	6	6	2	0	5	1	0	3	3	0	7	2	5	13	4	5	1	0	4	4	7	4	1	3	5	2	2	14	0	2	0	1	0	2	6	0	5	5	6	1	0	0	0	9	0	0	9	0	0	1	0	4	4	0	1	0	0	0	5	1	0	0	0	0	1	1	1	0	0	0	1	2	4	1	18	0	1	0	0	1	0	0	2	0	0	3	10	1	0	0	2	0	0	2	3	0	0	1	1	1	7	1	0	0	0	0	10	1	17	12	3	0	0	0	0	14	1	2	0	0	4	0	0	0	1	0	0	0	2	1	3	1	1	2	1	3	1	1	0	0	0	4	3	2	2	0	1	0	6	23	0	0	1	1	1	1	31	4	2	2	1	0	0	0	0	0	2	1	4	0	0	5	1	0	0	0	0	1	0	0	6	1	0	0	1	0	3	1	0	4	1	0	0	19	0	0	4	1	2	0	2	0	9	0	6	1	6	2	3	0	0	1	0	3	0	7	2	1	0	1	3	0	1	0	1	0	2	3	8	0	0	0	0	0	0	0	1	0	2	0	3	1	1	2	0	0	3	4	2	2	13	0	0	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	4	0	0	0	4	0	2	0	0	1	0	0	1	11	0	2	4	0	0	0	0	0	3	0	1	1	0	2	0	0	3	0	0	0	0	3	1	0	2	0	1	1	1	3	5	0	0	0	0	0	0	5	18	6	1	0	1	0	4	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	1	3	5	4	2	0	0	0	0	0	0	0	1	16	0	2	0	0	14	0	16	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	4	0	1	3	0	1	0	2	0	0	0	1	0	3	0	3	0	2	1
KevinHart4real	39	26	19	32	14	8	9	11	15	3	3	9	10	7	8	2	0	1	6	2	10	3	1	0	4	0	0	4	1	3	2	3	0	15	2	2	1	10	3	0	4	6	16	1	3	0	1	2	1	0	2	0	2	2	2	1	0	1	2	6	1	2	2	3	1	7	3	1	0	9	1	4	0	0	2	0	3	0	1	0	1	7	0	1	0	0	2	1	0	2	0	0	0	1	10	2	1	3	3	0	3	3	0	3	3	1	1	0	3	1	0	1	0	4	0	0	2	0	0	15	0	0	0	1	1	0	0	0	0	0	2	3	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	3	1	1	0	1	1	2	5	1	0	0	0	0	1	2	2	1	0	0	0	0	4	0	1	0	0	6	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	1	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	3	16	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	7	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0	2	0	0	0	1	0	0	0	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0
